"구분별(1)","구분별(2)",시점,발생량,재활용,소각,매립,기타
"계","서초구",2020,504.8,298.4,127.3,79.2,-
"계","강남구",2017,708.3,474.8,148.6,84.9,-
"계","강남구",2018,677.1,445.5,204.7,26.9,-
"계","강남구",2019,591.2,348.2,197.4,44.0,1.6
"계","강남구",2020,694.9,455.5,203.0,35.0,1.3
"계","송파구",2017,550.3,370.4,132.5,47.4,-
"계","송파구",2018,611.8,416.9,123.3,71.6,-
"계","송파구",2019,808.2,604.8,114.9,84.7,3.8
"계","송파구",2020,727.5,541.0,97.0,88.3,1.2
"계","강동구",2017,375.0,279.8,74.1,21.1,-
"계","강동구",2018,370.1,268.5,61.3,40.3,-
"계","강동구",2019,419.9,283.1,74.9,40.9,21.0
"계","강동구",2020,368.0,248.3,73.6,45.6,0
